grantee,url,amount,date,program,purpose
City University of New York,https://hewlett.org/grants/city-university-of-new-york-for-the-u-s-brazil-program/,50000,2000-10-04,U.S.-Latin American Relations Date Awarded 10/4/2000 Term 15 Months Type of Support General Support/Organization Strategies About the Grantee Grantee Website,For The U.S.-Brazil Program
Santa Clara University,https://hewlett.org/grants/santa-clara-university-for-the-middle-school-teachers-institute/,75000,2000-09-29,Education,For The Middle School Teachers Institute
University of California at San Diego,https://hewlett.org/grants/university-of-california-at-san-diego-for-the-glion-colloquium-on-higher-education/,75000,2000-09-29,Education,For The Glion Colloquium On Higher Education
California Association of Nonprofits,https://hewlett.org/grants/california-association-of-nonprofits-for-the-2000-annual-conference/,10000,2000-09-29,SF Bay Area,For The 2000 Annual Conference
California Center for Regional Leadership,https://hewlett.org/grants/california-center-for-regional-leadership-for-the-21st-century-fund-a-project-to-design-and-develop-a-proposal-for-a-new-statewide-real-estate-fund/,75000,2000-09-29,SF Bay Area,"For The 21st Century Fund, A Project To Design And Develop A Proposal For A New Statewide Real Estate Fund"
Academy of Family Mediators,https://hewlett.org/grants/academy-of-family-mediators-for-the-voluntary-mediator-certification-project-and-for-an-upcoming-merger-with-spidr-and-crenet/,75000,2000-09-21,Conflict Resolution Date Awarded 9/21/2000 Term 20 Months Type of Support Project Strategies About the Grantee Grantee Website,For The Voluntary Mediator Certification Project And For An Upcoming Merger With SPIDR And CREnet
Fund for the City of New York,https://hewlett.org/grants/fund-for-the-city-of-new-york-for-the-center-for-court-innovation-a-monograph-on-the-experience-of-problem-solving-courts-during-the-last-decade/,40000,2000-09-14,Special Projects,"For The Center For Court Innovation, A Monograph On The Experience Of Problem-solving Courts During The Last Decade"
California Association of Student Councils,https://hewlett.org/grants/california-association-of-student-councils-to-expand-the-state-advisory-board-on-legislation-in-education-program/,55000,2000-09-11,Education,To Expand The State Advisory Board On Legislation In Education Program
Fundación Margarita Miranda de Mascareñas,https://hewlett.org/grants/fundacion-margarita-miranda-de-mascarenas-for-fundacion-mascarenas-a-new-binational-community-foundation/,75000,2000-09-05,U.S.-Latin American Relations Date Awarded 9/5/2000 Term 25 Months Type of Support Project About the Grantee Grantee Website,"For Fundación Mascareñas, A New, Binational Community Foundation"
Foundation for Self-Sufficiency in Central America,https://hewlett.org/grants/foundation-for-self-sufficiency-in-central-america-for-la-coordinadora-del-bajo-lempa-in-el-salvador/,75000,2000-09-05,U.S.-Latin American Relations Date Awarded 9/5/2000 Term 12 Months Type of Support Project About the Grantee Grantee Website,For La Coordinadora Del Bajo Lempa In El Salvador
Grand Canyon Trust,https://hewlett.org/grants/grand-canyon-trust-for-the-growth-management-program/,50000,2000-08-21,Environment,For The Growth Management Program
Alaska Conservation Foundation,https://hewlett.org/grants/alaska-conservation-foundation-for-the-technology-support-program/,15000,2000-08-21,Environment,For The Technology Support Program
Zuni: A Shiwi Publishing,https://hewlett.org/grants/zuni-a-shiwi-publishing-for-journeys-home-a-bilingual-book-and-compact-disc/,65000,2000-08-18,Performing Arts,"For Journeys Home, A Bilingual Book And Compact Disc"
Democracy Project,https://hewlett.org/grants/democracy-project-for-quorum-org-a-web-based-interactive-town-hall-that-provides-nonpartisan-political-information-to-citizens-and-allows-them-to-communicate-with-each-other-and-political-leaders/,75000,2000-08-17,Special Projects,"For Quorum.org, A Web-based Interactive Town Hall That Provides Nonpartisan Political Information To Citizens And Allows Them To Communicate With Each Other And Political Leaders"
New York University,https://hewlett.org/grants/new-york-university-for-a-study-on-the-valuation-of-human-lives-in-the-context-of-the-cost-benefit-analysis-of-environmental-regulation-0/,75000,2000-08-17,Special Projects,For A Study On The Valuation Of Human Lives In The Context Of The Cost-benefit Analysis Of Environmental Regulation
Vera Institute of Justice,https://hewlett.org/grants/vera-institute-of-justice-for-a-seminar-series-in-russia/,50000,2000-08-08,Special Projects,For A Seminar Series In Russia
ScenariosUSA,https://hewlett.org/grants/scenariosusa-for-a-teen-pregnancy-and-aids-prevention-education-and-media-project/,75000,2000-08-08,Global Development and Population,For A Teen Pregnancy And AIDS Prevention Education And Media Project
Boys and Girls Club of the Peninsula,https://hewlett.org/grants/boys-and-girls-club-of-the-peninsula-for-the-fatherhood-program-at-the-center-for-a-new-generation/,15000,2000-08-07,SF Bay Area,For The Fatherhood Program At The Center For A New Generation
Institute for the Advanced Study of Black Family Life and Culture,https://hewlett.org/grants/institute-for-the-advanced-study-of-black-family-life-and-culture-for-the-hawk-federation-program/,65000,2000-08-07,SF Bay Area,For The HAWK Federation Program
Male Advocacy in Pregnancy and Parenting Coalition,https://hewlett.org/grants/male-advocacy-in-pregnancy-and-parenting-coalition-for-general-support/,75000,2000-08-02,SF Bay Area,For General Support
URGE: Unite for Reproductive & Gender Equity,https://hewlett.org/grants/urge-unite-for-reproductive-gender-equity-for-general-support-0/,75000,2000-08-01,Global Development and Population,For General Support
Japanese Organization for International Cooperation in Family Planning,https://hewlett.org/grants/japanese-organization-for-international-cooperation-in-family-planning-for-the-asia-pacific-alliance-for-advancing-icpd/,75000,2000-08-01,Global Development and Population,For The Asia-Pacific Alliance For Advancing ICPD
California College of the Arts,https://hewlett.org/grants/california-college-of-the-arts-for-a-study-of-bay-area-youth-development-through-arts/,75000,2000-07-28,Performing Arts,For A Study Of Bay Area Youth Development Through Arts
Community Initiatives,https://hewlett.org/grants/community-initiatives-for-san-francisco-classical-voice/,10000,2000-07-24,Performing Arts,For San Francisco Classical Voice
Fairfax-San Anselmo Children's Center,https://hewlett.org/grants/fairfax-san-anselmo-childrens-center-for-the-bay-area-male-involvement-network/,65000,2000-07-20,SF Bay Area,For The Bay Area Male Involvement Network
National Academy of Sciences,https://hewlett.org/grants/national-academy-of-sciences-for-a-study-to-be-conducted-by-the-committee-on-international-security-and-arms-control-on-technical-issues-related-to-the-comprehensive-test-ban-treaty/,50000,2000-07-20,Special Projects,For A Study To Be Conducted By The Committee On International Security And Arms Control On Technical Issues Related To The Comprehensive Test Ban Treaty
Bridgespan Group,https://hewlett.org/grants/bridgespan-group-for-a-study-on-foundation-grant-making-processes/,30000,2000-07-20,Effective Philanthropy,For A Study On Foundation Grant-making Processes
Link Services,https://hewlett.org/grants/link-services-for-general-support/,50000,2000-07-20,Special Projects,For General Support
Leon and Sylvia Panetta Institute for Public Policy,https://hewlett.org/grants/leon-and-sylvia-panetta-institute-for-public-policy-for-the-leon-panetta-lecture-series/,10000,2000-07-20,Special Projects,For The Leon Panetta Lecture Series
Rockefeller Philanthropic Collaborative,https://hewlett.org/grants/rockefeller-philanthropic-collaborative-for-a-series-of-workshops-seminars-and-papers-entitled-remaking-federalism-for-the-21st-century/,50000,2000-07-20,Special Projects,"For A Series Of Workshops, Seminars And Papers Entitled Remaking Federalism For The 21st Century"
Stanford University,https://hewlett.org/grants/stanford-university-for-a-meeting-in-tbilisi-georgia-in-partnership-with-caucasian-institute-for-peace-democracy-and-development-to-explore-the-creation-of-a-regional-seminar-on-issues-of-securi/,20000,2000-07-20,Special Projects,"For A Meeting In Tbilisi, Georgia, In Partnership With Caucasian Institute For Peace, Democracy And Development, To Explore The Creation Of A Regional Seminar On Issues Of Security And Cooperation In The Southern Caucasus"
Silicon Valley Community Foundation,https://hewlett.org/grants/silicon-valley-community-foundation-for-a-philanthropy-incubator/,25000,2000-07-20,Special Projects,For A Philanthropy Incubator
Nature Conservancy,https://hewlett.org/grants/nature-conservancy-for-the-preparation-of-a-davis-county-utah-shorelands-plan/,100000,2000-07-17,Environment,"For The Preparation Of A Davis County, Utah, Shorelands Plan"
"The.art.re.grüp, The LAB",https://hewlett.org/grants/the-art-re-grup-the-lab-for-general-support-2/,60000,2000-07-17,Performing Arts,For General Support
"Pacific Institute for Studies in Development, Environment and Security",https://hewlett.org/grants/pacific-institute-for-studies-in-development-environment-and-security-for-general-support/,400000,2000-07-17,Environment,For General Support
University of Maryland,https://hewlett.org/grants/university-of-maryland-for-the-pluralism-and-unity-program/,150000,2000-07-17,Education,For The Pluralism And Unity Program
"The.art.re.grüp, The LAB",https://hewlett.org/grants/the-art-re-grup-the-lab-for-general-support-2/,60000,2000-07-17,Performing Arts,For General Support
Ipas,https://hewlett.org/grants/ipas-for-work-in-india/,950000,2000-07-17,Global Development and Population,For Work In India
Georgetown University,https://hewlett.org/grants/georgetown-university-for-a-project-to-assess-the-implementation-and-impact-of-u-s-immigration-policy/,350000,2000-07-17,Global Development and Population,For A Project To Assess The Implementation And Impact Of U.S. Immigration Policy
University of California at Davis,https://hewlett.org/grants/university-of-california-at-davis-for-a-project-on-the-impacts-of-nafta-on-incomes-and-migration-in-rural-mexico/,250000,2000-07-17,U.S.-Latin American Relations Date Awarded 7/17/2000 Term 25 Months Type of Support Project Strategies About the Grantee Grantee Website,For A Project On The Impacts Of NAFTA On Incomes And Migration In Rural Mexico
California Assembly of Local Arts Agencies,https://hewlett.org/grants/california-assembly-of-local-arts-agencies-for-culturevista-a-web-site-for-arts-and-culture/,75000,2000-07-17,Performing Arts,"For CultureVista, A Web-site For Arts And Culture"
Princeton University,https://hewlett.org/grants/princeton-university-for-a-feasibility-study-entitled-measuring-social-well-being/,400000,2000-07-17,Special Projects,For A Feasibility Study Entitled Measuring Social Well-being
"Pacific Institute for Studies in Development, Environment and Security",https://hewlett.org/grants/pacific-institute-for-studies-in-development-environment-and-security-for-general-support/,400000,2000-07-17,Environment,For General Support
